id,manufacturer_id,dtc,description
138,1,P1814,Torque Converter Overstressed
139,1,P1274,Injectors Wired Incorrectly
140,1,P1520,Transmission Range Switch Circuit
141,1,P1800,TCM Power Relay Control Circuit
142,1,P1250,Early Fuel Evaporation Heater Circuit
143,1,P1375,IC 24X Reference Circuit High Voltage
144,1,P1617,Engine Oil Level Switch Circuit
145,1,P1640,Driver-1-Input High Voltage
146,1,P1222,Injector Control Circuit Intermittent
147,1,P1323,IC 24X Reference Circuit Low Frequency
148,1,P1791,Transmission Control Module Loop
149,1,P1835,Kick-Down Switch Circuit
150,1,P1275,Accelerator Pedal Position (APP) Sensor 1 Circuit
151,1,P1345,Crankshaft Position (CKP)-Camshaft Position (CMP) Correlation
152,1,P1155,HO2S Lean Mean Bank 2 Sensor 1
153,1,P1156,HO2S Rich Mean Bank 2 Sensor 1
154,1,P1282,Accelerator Pedal Position Sensor 2 Circuit Low Voltage
155,1,P1358,IC Output High/Pulse Detected when GND_Cyl. 8
156,1,P1684,Driver 5 Line 4
157,1,P1125,APP System
158,1,P1243,Injector Circuit Cylinder 8 Intermittent
159,1,P1161,HO2S Heater Control Circuit Bank 2 Sensor 2
160,1,P1336,Crankshaft Position (CKP) System Variation Not Learned
161,1,P1131,HO2S Circuit Low Variance Bank 1 Sensor 2
162,1,P1143,HO2S Bank 1 Sensor 3 Lean System or Low Voltage
163,1,P1893,Engine Torque Signal Low Voltage
164,1,P1515,Electronic Throttle System Throttle Position
165,1,P1390,Wheel Speed Sensor 1 - G - Sensor Circuit
166,1,P1111,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage
167,1,P1560,Transaxle Not in Drive - Cruise Control Disabled
168,1,P1118,Engine Coolant Temp. Signal Out-Of-Range High
169,1,P1281,Accelerator Pedal Position Sensor 2 Circuit Performance
170,1,P1280,Accelerator Pedal Position (APP) Sensor 2 Circuit
171,1,P1185,Engine Oil Temperature Circuit
172,1,P1272,Accelerator Pedal Position Sensor 2
173,1,P1637,Generator L-Terminal Circuit
174,1,P1603,Loss of SDM Serial Data
175,1,P1633,Ignition 0 Switch Circuit
176,1,P1615,Loss of VTD Serial Data
177,1,P1868,Transmission Fluid Life
178,1,P1660,Cooling Fan Control Circuits
179,1,P1675,EVAP Vent Solenoid Control Circuit
180,1,P1574,Stoplamp Switch Circuit
181,1,P1260,Last Test Failed Failed SCC ENTER:More Info.
182,1,P1526,Minimum Throttle Position Not Learned
183,1,P1517,Electronic Throttle Module
184,1,P1165,HO2S Cross Counts Bank 2 Sensor 3
185,1,P1136,HO2S Rich Mean Bank 1 Sensor 1
186,1,P1140,HO2S Transition Time Ratio Bank 1 Sensor 2
187,1,P1812,Transmission Over Temperature Condition
188,1,P1119,ECT Signal Out-Of-Range With TFT Sensor
189,1,P1655,EVAP Purge Solenoid Control Circuit
190,1,P1363,IC Cylinder 3 Not Toggling After Enable
191,1,P1170,Bank to Bank Fuel TrimOffset
192,1,P1524,Throttle Closed Position Performance
193,1,P1108,BARO to MAP Sensor Comparison Too High
194,1,P1503,Theft Deterrent Fuel Enable Signal Not Correct
195,1,P1665,Driver 3 Line 5
196,1,P1600,TCM Internal Watchdog Operation
197,1,P1795,CAN Bus - Throttle Body Position
198,1,P1508,Idle Speed Low - Idle Air Control (IAC) System NotResponding
199,1,P1816,TFP Valve Position Sw. - Park/Neu. With Drive Ratio
200,1,P1607,Serial Communication Problem With Device 7
201,1,P1780,Park/Neutral Position [PNP] Switch Circuit
202,1,P1874,TCC Stator Temp. Switch Circuit High
203,1,P1661,MIL Control Circuit
204,1,P1638,Generator F-Terminal Circuit
205,1,P1680,Driver 5
206,1,P1555,Electronic Variable Orifice Output
207,1,P1544,A/C Refrigerant Condition Very Low
208,1,P1623,Transmission Temp Pull-Up Resistor
209,1,P1613,Loss of DIM Serial Data
210,1,P1523,Throttle Closed Position Performance
211,1,P1137,HO2S Bank 1 Sensor 2 Lean System or Low Voltage
212,1,P1823,Internal Mode Switch Circuit P Low
213,1,P1627,A/D Performance
214,1,P1670,Driver 4
215,1,P1201,(Alt. Fuel) Gas Mass Sensor Circuit Range/Performance
216,1,P1663,Oil Life Lamp Control Circuit
217,1,P1822,Internal Mode Switch Circuit B High
218,1,P1631,Theft Deterrent Start Enable Signal Not Correct
219,1,P1586,Cruise Control Brake Switch 2 Circuit
220,1,P1647,Driver 1 Line 7
221,1,P1656,Driver 2 Line 6
222,1,P1258,Engine Coolant Overtemperature - Protection Mode Active
223,1,P1687,Driver 5 Line 7
224,1,P1558,Cruise Control Servo Indicates Low
225,1,P1804,Ground Control Relay
226,1,P1831,PC Solenoid Power Circuit - Low Voltage
227,1,P1629,Theft Deterrent System - Cranking Signal
228,1,P1569,Cruise Servo Stroke High While not in Cruise
229,1,P1133,HO2S Insufficient Switching Bank 1 Sensor 1
230,1,P1518,Electronic Throttle Module to PCM Communication
231,1,P1561,Cruise Vent Solenoid
232,1,P1500,Starter Signal Circuit
233,1,P1367,IC Cylinder 7 Not Toggling After Enable
234,1,P1700,Transmission Control Module (TCM) Requested MILIllumination
235,1,P1820,Internal Mode Switch Circuit A Low
236,1,P1843,1-2 Shift Solenoid Circuit High Voltage
237,1,P1842,1-2 Shift Solenoid Circuit Low Voltage
238,1,P1216,Fuel Solenoid Response Time Too Short
239,1,P1588,Cruise Control Clutch Control Circuit High
240,1,P1689,Delivered Torque Circuit Fault
241,1,P1535,A/C High Side Temperature Sensor Circuit
242,1,P1652,Powertrain Induced Chassis Pitch Output Circuit
243,1,P1409,EGR Vacuum System Leak
244,1,P1681,Driver 5 Line 1
245,1,P1585,Cruise Control Inhibit Output Circuit
246,1,P1139,HO2S Insuff. Switching Bank 1 Sensor 2
247,1,P1577,BBV Sensor Ckt. Low Voltage
248,1,P1163,HO2S Bank 2 Sensor 3 Lean System or Low Voltage
249,1,P1423,Intake Air High Pressure Switch Circuit High Voltage
250,1,P1645,Evaporative Emission (EVAP) Vent Solenoid Contorl Circuit
251,1,P1215,Ground Fault Detection Indicated
252,1,P1362,IC Cylinder 2 Not Toggling After Enable
253,1,P1153,HO2S Insufficient Switching Bank 2 Sensor 1
254,1,P1580,Cruise Move Circuit Low Voltage
255,1,P1636,PCM Stack Overrun
256,1,P1200,Injector Control Circuit
257,1,P1676,Driver 4 Line 6
258,1,P1538,A/C Request Circuit High Voltage
259,1,P1145,HO2S Cross Counts Bank 1 Sensor 3
260,1,P1853,Brake Band Apply Solenoid High Voltage
261,1,P1287,Accelerator Pedal Position Sensor 3 Circuit Low Voltage
262,1,P1619,Engine Oil Life Monitor Reset Circuit
263,1,P1420,Intake Air Low Pressure Switch Circuit Low Voltage
264,1,P1220,Throttle Position (TP) Sensor 2 Circuit
265,1,P1583,Cruise Direction CircuitHigh Voltage
266,1,P1548,A/C Recirculation Circuit
267,1,P1622,Cylinder Select
268,1,P1519,Throttle Actuator Control (TAC) Module Internal Circuit
269,1,P1672,Low Engine Oil Level Lamp Control Circuit
270,1,P1817,TFP Valve Position Sw. - Reverse With Drive Ratio
271,1,P1516,Throttle Actuator Control (TAC) Module Throttle ActuatorPosition Performance
272,1,P1219,Throttle Position Sensor Reference Voltage
273,1,P1441,Evaporative Emission (EVAP) System Flow During Non-Purge
274,1,P1895,TCM to ECM Torque Reduction Circuit
275,1,P1324,Crank RPM Too Low
276,1,P1187,EOT Sensor Ckt. Low Voltage
277,1,P1321,Electronic Ignition System Fault Line
278,1,P1584,Cruise Control Disabled
279,1,P1826,Internal Mode Switch Circuit C - High
280,1,P1894,Engine Torque Signal High Voltage
281,1,P1662,Cruise Lamp Control Circuit
282,1,P1565,Cruise Servo Position Sensor
283,1,P1845,2-3 Shift Solenoid Circuit Low Voltage
284,1,P1546,A/C Clutch Status Circuit Low Voltage
285,1,P1393,Wheel Speed Sensor 1 - G - Sensor Circuit High Voltage
286,1,P1579,P/N to D/R at High Throttle Angle - Power Reduction ModeActive
287,1,P1695,Remote Keyless Entry Circuit Low
288,1,P1677,Driver 4 Line 7
289,1,P1690,ECM Loop Overrun
290,1,P1620,Low Coolant Circuit
291,1,P1130,HO2S Circuit Low Variance Bank 1 Sensor 1
292,1,P1891,Throttle Position Sensor PWM Signal Low
293,1,P1360,Ignition Coil Group 2 Control Circuit
294,1,P1646,Evaporative Emission (EVAP) Vent Solenoid Control Circuit
295,1,P1602,Knock Sensor (KS) Module Performance
296,1,P1157,HO2S Bank 2 Sensor 2 Lean System or Low Voltage
297,1,P1686,Driver 5 Line 6
298,1,P1573,PCM/EBTCM Serial Data Circuit
299,1,P1884,TCC Enable/Shift Light Circuit
300,1,P1683,Driver 5 Line 3
301,1,P1217,Fuel Solenoid Response Time Too Long
302,1,P1138,HO2S Bank 1 Sensor 2 Rich or High Voltage
303,1,P1531,A/C Low Side Temperature Sensor Fault
304,1,P1666,Driver 3 Line 6
305,1,P1790,Transmission Control Module Checksum
306,1,P1214,Injection Pump Timing Offset
307,1,P1536,Engine Coolant Overtemperature - Air Conditioning (A/C)Disabled
308,1,P1628,ECT Pull-Up Resistor
309,1,P1364,IC Cylinder 4 Not Toggling After Enable
310,1,P1231,Injector Circuit Cylinder 4 Intermittent
311,1,P1701,Trans. MIL Request Circuit
312,1,P1218,Injection Pump Calibration Circuit
313,1,P1563,Cruise Vehicle Speed/Set Speed Difference Too High
314,1,P1875,4WD Low Switch Circuit Electrical
315,1,P1450,Barometric Pressure Sensor Circuit
316,1,P1355,IC Output High/Pulse Detected when GND_Cyl. 5
317,1,P1825,Internal Mode Switch - Invalid Range
318,1,P1611,Loss of CVRTD Serial Data
319,1,P1604,Loss of IPC Serial Data
320,1,P1514,Airflow to TP Sensor Correlation High
321,1,P1691,Coolant Gage Circuit Low Voltage
322,1,P1365,IC Cylinder 5 Not Toggling After Enable
323,1,P1277,Accelerator Pedal Position Sensor 1 Circuit Low Voltage
324,1,P1164,HO2S Bank 2 Sensor 3 Rich or High Voltage
325,1,P1671,Driver 4 Line 1
326,1,P1871,Undefined Gear Ratio
327,1,P1399,Wheel Speed Sensor 2 - G - Sensor Circuit Intermittent
328,1,P1116,ECT Signal Unstable or Intermittent
329,1,P1685,Driver 5 Line 5
330,1,P1159,HO2S Cross Counts Bank 2 Sensor 2
331,1,P1634,Ignition 1 Switch Circuit
332,1,P1539,A/C Clutch Status Circuit High Voltage
333,1,P1353,IC Output High/Pulse Detected when GND_Cyl. 3
334,1,P1609,Loss Of TCS Serial Data
335,1,P1599,Engine Stall or Near Stall Detected
336,1,P1653,Oil Level Lamp Control Circuit
337,1,P1351,Ignition Coil Control Circuit High Voltage
338,1,P1403,Exhaust Gas Recirculation System Valve 1
339,1,P1525,Throttle Body ServiceRequired
340,1,P1320,IC 4X Reference Circuit Intermittent
341,1,P1639,5 Volt Reference 2 Circuit
342,1,P1031,HO2S Heater Current Monitor Control Circuit Banks 1 and 2 Sensor 1
343,1,P1605,Loss of HVAC Serial Data
344,1,P1625,TCM System Reset
345,1,P1870,Transmission Component Slipping
346,1,P1396,Wheel Speed Sensor 2 - G - Sensor Circuit Performance
347,1,P1892,Throttle Position Sensor PWM Signal High
348,1,P1190,Engine Vacuum Leak
349,1,P1502,Theft Deterrent Fuel Enable Signal Not Received
350,1,P1641,Malfunction Indicator Lamp (MIL) Control Circuit
351,1,P1397,Wheel Speed Sensor 2 - G - Sensor Circuit Low Voltage
352,1,P1886,Shift Timing Solenoid
353,1,P1813,Torque Control
354,1,P1113,Intake Resonance Switchover Solenoid Control Circuit
355,1,P1257,Supercharger System Overboost
356,1,P1410,Fuel Tank Pressure System
357,1,P1408,Intake Manifold Pressure Sensor Circuit
358,1,P1211,Mass Air Flow Circuit Intermittent High
359,1,P1405,Exhaust Gas Recirculation System Valve 3
360,1,P1534,A/C High Side Temp. Sensor Low Voltage
361,1,P1543,A/C System Performance
362,1,P1352,IC Output High/Pulse Detected when GND_Cyl. 2
363,1,P1522,Park/Neutral to Drive/Reverse at High RPM
364,1,P1533,A/C Evaporator Temp. Sens. Ckt. High Voltage
365,1,P1451,Barometric Press. Sensor Performance
366,1,P1134,HO2S Transition Time Ratio Bank 1 Sensor 1
367,1,P1372,Crankshaft Position (CKP) Sensor A-B Correlation
368,1,P1398,Wheel Speed Sensor 2 - G - Sensor Circuit High Voltage
369,1,P1554,Cruise Control Feedback Circuit
370,1,P1669,ABS Unit Expected
371,1,P1371,IC 4X Reference Circuit Too Few Pulses
372,1,P1394,Wheel Speed Sensor 1 - G - Sensor Circuit Intermittent
373,1,P1781,Engine Torque Signal Circuit
374,1,P1651,Fan 1 Relay Control Circuit
375,1,P1350,Ignition Control System
376,1,P1283,Accelerator Pedal Position Sensor 2 Circuit High Voltage
377,1,P1521,Transmission Engaged at High Throttle Angle
378,1,P1694,Tachometer Circuit High Voltage
379,1,P1407,EGR Air Intrusion in Exhaust Supply to EGR Valve
380,1,P1608,Serial Communication Problem With Device 8
381,1,P1406,EGR Valve Pintle Position Circuit
382,1,P1234,Injector Circuit Cylinder 5 Intermittent
383,1,P1635,5 Volt Reference Circuit
384,1,P1361,Ignition Coil Control Circuit Low Voltage
385,1,P1852,Brake Band Apply SolenoidLow Voltage
386,1,P1415,Secondary Air Injection (AIR) System Bank 1
387,1,P1381,Misfire Detected - No Communication with Brake ControlModule
388,1,P1135,HO2S Lean Mean Bank 1 Sensor 1
389,1,P1542,A/C System High Pressure High Temperature
390,1,P1705,P/N Signal Output Circuit
391,1,P1300,Ignitor Circuit
392,1,P1610,Loss of PZM Serial Data
393,1,P1432,Fuel Level Sensor 2 Circuit Low Voltage
394,1,P1568,Cruise Servo Stroke Greater than Commanded in Cruise
395,1,P1395,Wheel Speed Sensor 2 - G - Sensor Circuit
396,1,P1664,1-4 Upshift Lamp Control Circuit
397,1,P1836,Kick-Down Switch Failed Open
398,1,P1431,Fuel Level Sensor 2 Circuit Performance
399,1,P1819,Internal Mode Switch - No Start/Wrong Range
400,2,P1674,Tachometer Control Circuit
401,2,P1760,TCM Supply Voltage Interrupted
402,2,P1273,Accelerator Pedal Position Sensor 1
403,2,P1212,Mass Air Flow Circuit Intermittent Low
404,2,P1567,Active Banking Control Active - Cruise Control Disabled
405,2,P1203,(Alt. Fuel) Gas Mass Sensor Circuit High Frequency
406,2,P1630,Theft Deterrent Learn Mode Active
407,2,P1202,(Alt. Fuel) Gas Mass Sensor Circuit Low Frequency
408,2,P1120,Throttle Position (TP) Sensor 1 Circuit
409,2,P1532,A/C Evaporator Temp. Sens. Ckt. Low Voltage
410,2,P1811,Maximum Adapt and Long Shift
411,2,P1354,IC Output High/Pulse Detected when GND_Cyl. 4
412,2,P1237,Injector Circuit Cylinder 6 Intermittent
413,2,P1545,Air Conditioning (A/C) Clutch Relay Control Circuit
414,2,P1642,Vehicle Speed Output Circuit
415,2,P1847,2-3 Shift Solenoid Circuit High Voltage
416,2,P1644,Traction Control Delivered Torque Output Circuit
417,2,P1112,Intake Air Temperature (IAT) Sensor Circuit IntermittentLow Voltage
418,2,P1310,Ignition Coil 3 Primary Feedback Circuit
419,2,P1504,Vehicle Speed Output Circuit
420,2,P1570,Traction Control Active - Cruise Control Disabled
421,2,P1186,EOT Circuit Performance
422,2,P1404,Exhaust Gas Recirculation (EGR) Closed PositionPerformance
423,2,P1571,Traction Control Torque Request Circuit
424,2,P1696,Remote Keyless Entry Voltage High
425,2,P1442,EVAP Vacuum Sw. High Voltage During Ign. On
426,2,P1851,Brake Band Apply Solenoid Performance
427,2,P1370,IC 4X Reference Circuit Too Many Pulses
428,2,P1562,Cruise Vacuum Solenoid
429,2,P1315,Ignition Coil 4 Primary Feedback Circuit
430,2,P1547,A/C System Performance Degraded
431,2,P1529,Heated Windshield Request Problem
432,2,P1286,Accelerator Pedal Position Sensor 3 Circuit Performance
433,2,P1658,Starter Enable Relay Control Circuit
434,2,P1335,CKP Circuit
435,2,P1632,Theft Deterrent Fuel Disable Signal Received
436,2,P1530,Throttle Actuator Control (TAC) Module Internal Circuit
437,2,P1873,TCC Stator Temp. Switch Circuit Low
438,2,P1575,Extended Travel Brake Switch Circuit
439,2,P1374,3X Reference Circuit
440,2,P1528,Governor
441,2,P1366,IC Cylinder 6 Not Toggling After Enable
442,2,P1692,Coolant Gage Circuit High Voltage
443,2,P1117,Engine Coolant Temp. Signal Out-Of-Range Low
444,2,P1818,TFP Valve Position Sw. - Drive Without Drive Ratio
445,2,P1188,EOT Sensor Ckt. High Voltage
446,2,P1106,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent High Voltage
447,2,P1115,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent High Voltage
448,2,P1105,Secondary Vacuum Sensor Circuit
449,2,P1433,Fuel Level Sensor 2 Circuit High Voltage
450,2,P1740,Torque Reduction Signal Circuit
451,2,P1612,Loss of IPM Serial Data
452,2,P1107,Manifold Absolute Pressure (MAP) Sensor Circuit Intermittent Low Voltage
453,2,P1510,Throttle Control System Performance - Throttle LimitationActive
454,2,P1540,Air Conditioning (A/C) Refrigerant Overpressure - AirConditioning (A/C) Disabled
455,2,P1228,Injector Circuit Cylinder 3 Intermittent
456,2,P1278,Accelerator Pedal Position Sensor 1 Circuit High Voltage
457,2,P1121,Throttle Position (TP) Sensor Circuit Intermittent HighVoltage
458,2,P1844,Torque Reduction Signal Circuit Desired By TCM
459,2,P1509,Idle Speed High - Idle Air Control (IAC) System NotResponding
460,2,P1357,IC Output High/Pulse Detected when GND_Cyl. 7
461,2,P1601,Serial Comm. Problem With Device 1
462,2,P1240,Injector Circuit Cylinder 7 Intermittent
463,2,P1245,Intake Plenum Switchover Valve
464,2,P1860,TCC PWM Solenoid Circuit Electrical
465,2,P1564,Vehicle Acceleration Too High - Cruise Control Disabled
466,2,P1288,Accelerator Pedal Position Sensor 3 Circuit High Voltage
467,2,P1276,Accelerator Pedal Position Sensor 1 Circuit Performance
468,2,P1359,Ignition Coil Group 1 Control Circuit
469,2,P1682,Driver 5 Line 2
470,2,P1114,Engine Coolant Temperature (ECT) Sensor CircuitIntermittent Low Voltage
471,2,P1576,BBV Sensor Ckt. High Voltage
472,2,P1483,Engine Cooling System Performance
473,2,P1271,Accelerator Pedal Position (APP) Sensor 1-2 Correlation
474,2,P1673,Engine Hot Lamp Control Circuit
475,2,P1380,Misfire Detected - Rough Road Data Not Available
476,2,P1864,Torque Converter Clutch Circuit
477,2,P1270,Accelerator Pedal Position Sensor A/D Converter Error
478,2,P1322,EI System or Ignition Control Extra or Missing
479,2,P1346,Intake Camshaft Position [CMP] Sensor System Performance
480,2,P1566,Engine RPM Too High - Cruise Control Disabled
481,2,P1667,Reverse Inhibit Solenoid Control Circuit
482,2,P1305,Ignition Coil 2 Primary Feedback Circuit
483,2,P1572,ASR Active Circuit Low Too Long
484,2,P1421,Intake Air Low Pressure Switch Circuit High Voltage
485,2,P1810,TFP Valve Position Switch Circuit
486,2,P1154,HO2S Transition Time Ratio Bank 2 Sensor 1
487,2,P1887,TCC Release Switch Circuit
488,2,P1541,A/C High Side Over Temperature
489,2,P1654,Cruise Control Inhibit Output Circuit
490,2,P1657,1-4 Upshift Solenoid Control Circuit
491,2,P1418,Secondary Air Injection System Relay A Control CircuitHigh
492,2,P1801,Performance Selector Switch Failure
493,2,P1189,Engine Oil Pressure (EOP) Switch Circuit
494,2,P1391,Wheel Speed Sensor 1 - G - Sensor Circuit Performance
495,2,P1356,IC Output High/Pulse Detected when GND_Cyl. 6
496,2,P1624,Customer Snapshot Requested - Data Available
497,2,P1578,BBV Sensor Ckt. Low Vacuum
498,2,P1480,Cooling Fan 1 Control Circuit High
499,2,P1815,Transmission Range Switch - Start In Wrong Range
500,2,P1221,Fuel Pump Secondary Circuit Low
501,2,P1837,Kick-Down Switch Failed Short
502,2,P1743,TP Signal from ECM
503,2,P1581,Cruise Move Circuit High Voltage
504,2,P1392,Wheel Speed Sensor 1 - G - Sensor Circuit Low Voltage
505,2,P1779,Engine Torque Delivered to TCM Signal
506,2,P1559,Cruise Control Power Management Mode
507,2,P1626,Theft Deterrent Fuel Enable Signal Not Received
